Reading_ID,Tunnel_Length,Horizontal_Dev,Vertical_Dev,Total_Deviation,Alignment_Quality,Quality_Grade,Deviation_Category,Deviation_Difference
1,0.00,0.00,0.00,0.00,1.000,Excellent,Excellent (<5mm),0.00
2,4.00,0.00,-2.00,2.00,0.333,Acceptable,Excellent (<5mm),19.19
3,6.52,0.00,0.00,0.00,1.000,Excellent,Excellent (<5mm),0.00
4,9.50,9.00,-21.00,22.85,0.042,Poor,Acceptable (15-25mm),-3.61
5,12.55,4.00,-14.00,14.56,0.064,Poor,Good (5-15mm),-0.52
6,4.12,0.00,0.00,0.00,1.000,Excellent,Excellent (<5mm),0.00
7,12.56,5.00,-17.00,17.72,0.053,Poor,Acceptable (15-25mm),4.30
8,13.76,6.00,-17.00,18.03,0.053,Poor,Acceptable (15-25mm),-0.91
9,14.77,7.00,-13.00,14.76,0.063,Poor,Good (5-15mm),5.46
10,15.78,6.00,-13.00,14.32,0.065,Poor,Good (5-15mm),5.78
11,15.05,5.00,-12.00,13.00,0.071,Poor,Good (5-15mm),7.10
12,16.14,9.00,-11.00,14.21,0.066,Poor,Good (5-15mm),8.59
13,17.15,9.00,-10.00,13.45,0.069,Poor,Good (5-15mm),7.74
14,18.16,13.00,-9.00,15.81,0.059,Poor,Acceptable (15-25mm),6.14
15,19.24,11.00,-7.00,13.04,0.071,Poor,Good (5-15mm),10.05
16,20.25,8.00,-7.00,10.63,0.086,Poor,Good (5-15mm),5.65
17,21.27,8.00,-7.00,10.63,0.086,Poor,Good (5-15mm),8.61
18,22.31,11.00,-4.00,11.70,0.079,Poor,Good (5-15mm),2.19
19,23.32,12.00,-8.00,14.42,0.065,Poor,Good (5-15mm),-4.57
20,24.33,13.00,-11.00,17.03,0.055,Poor,Acceptable (15-25mm),-8.43
21,25.34,14.00,-10.00,17.20,0.055,Poor,Acceptable (15-25mm),-13.60
22,26.36,10.00,-13.00,16.40,0.057,Poor,Acceptable (15-25mm),-10.08
23,27.37,13.00,-20.00,23.85,0.040,Poor,Acceptable (15-25mm),-15.79
24,28.38,-9.00,-13.00,15.81,0.059,Poor,Acceptable (15-25mm),3.19
25,29.39,-14.00,-15.00,20.52,0.046,Poor,Acceptable (15-25mm),9.71
26,30.41,-11.00,-14.00,17.80,0.053,Poor,Acceptable (15-25mm),14.40
27,31.43,-12.00,-1.00,12.04,0.077,Poor,Good (5-15mm),26.04
28,32.44,-11.00,5.00,12.08,0.076,Poor,Good (5-15mm),25.49
29,33.45,-11.00,12.00,16.28,0.058,Poor,Acceptable (15-25mm),19.96
30,34.50,-13.00,11.00,17.03,0.055,Poor,Acceptable (15-25mm),19.22
31,35.52,-9.00,11.00,14.21,0.066,Poor,Good (5-15mm),22.90
32,36.62,0.00,0.00,0.00,1.000,Excellent,Excellent (<5mm),0.00
33,37.63,0.00,0.00,0.00,1.000,Excellent,Excellent (<5mm),0.00
34,38.76,0.00,0.00,0.00,1.000,Excellent,Excellent (<5mm),0.00
35,39.77,0.00,13.00,13.00,0.071,Poor,Good (5-15mm),22.06
36,40.78,1.00,9.00,9.06,0.099,Poor,Good (5-15mm),28.00
